jesus_ascension_luke                 ,Luke, 24:35-53
jesus_ascension_acts                 ,Acts, 1:6-11
the_holy_spirit_comes                ,Acts, 2:1-47
the_apostles_courage                 ,Acts, 4:1-31
ananias_and_sapphira                 ,Acts, 5:1-11
philip_and_the_eunuch                 ,Acts, 8:26-40
saul_encounters_jesus                ,Acts, 9:1-19
peter_and_cornelius                  ,Acts, 10:1-11:18
paul_in_corinth                      ,Acts, 18:1-28
paul_in_ephesus                      ,Acts, 19:1-41
paul_goes_to_rome                    ,Acts, 27:1-28:31
