jesus_ascension_luke                 ,"   Jesus' Ascension                     ","  Luke 24:35-53            ",Luke 24:35-53
jesus_ascension_acts                 ,"   Jesus' Ascension                     ","  Acts 1:6-11              ",Acts 1:6-11
the_holy_spirit_comes                ,"   The Holy Spirit Comes                ","  Acts 2:1-47              ",Acts 2:1-47
the_apostles_courage                 ,"   The Apostles' Courage                ","  Acts 4:1-31              ",Acts 4:1-31
ananias_and_sapphira                 ,"   Ananias and Sapphira                 ","  Acts 5:1-11              ",Acts 5:1-11
philip_and_th_eunuch                 ,"   Philip and th Eunuch                 ","  Acts 8:26-40             ",Acts 8:26-40
saul_encounters_jesus                ,"   Saul Encounters Jesus                ","  Acts 9:1-19              ",Acts 9:1-19
peter_and_cornelius                  ,"   Peter and Cornelius                  ","  Acts 10:1-11:18          ",Acts 10:1-11:18
paul_in_corinth                      ,"   Paul in Corinth                      ","  Acts 18:1-28             ",Acts 18:1-28
paul_in_ephesus                      ,"   Paul in Ephesus                      ","  Acts 19:1-41             ",Acts 19:1-41
paul_goes_to_rome                    ,"   Paul Goes to Rome                    ","  Acts 27:1-28:31          ",Acts 27:1-28:31
